movieId,UMAP1,UMAP2,UMAP3,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,cluster_gmm
619,4.0547423,3.9959016,3.327423,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
33826,7.0967393,4.9033413,2.7121649,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
1298,5.8669243,6.846243,3.1153731,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
140289,5.573941,4.8638825,3.989753,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
3064,3.618274,5.746211,4.3526716,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6
2868,5.0966573,3.5696251,4.09109,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
27826,5.243566,5.8500867,4.490718,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6
1950,7.7693844,4.766326,4.046288,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5
27802,6.060042,2.9766927,2.814557,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,3
7149,5.2432356,3.3555288,3.5921195,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3
4334,2.3407092,4.902748,3.4056532,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
39234,8.044991,5.1316085,3.9446468,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
5562,1.7744763,3.7690475,3.8450606,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
6678,2.9585543,6.935433,4.489654,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7
5313,3.4959586,3.921033,1.9099298,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6
7205,2.3434904,2.6297815,4.079508,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
573,6.9743643,6.271544,4.2675657,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
5849,3.8047583,2.947766,4.1923957,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3075,4.43341,2.3950474,3.681835,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4
5619,5.304421,4.323991,5.0713515,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4133,4.728586,3.8811183,2.9478471,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
179,3.531115,5.6191983,4.50746,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6
5364,5.7452445,3.9754734,5.1243005,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
912,5.539093,6.7235093,2.7057304,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
2333,6.2550054,5.8845773,2.1619937,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
198,6.387479,7.1478357,3.2779744,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,2
7010,3.1713872,7.33184,4.5903277,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7
6405,4.404329,2.9226887,2.1520073,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3833,6.960086,4.969932,2.599038,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5
107141,7.9272337,6.39862,3.5907147,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
4610,3.686342,5.3815403,1.7434438,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,6
3857,4.1563106,4.651673,2.5569966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
26133,3.518621,6.372204,1.5909579,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
161634,4.7655406,6.2530727,4.732056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
51086,4.0130734,5.568621,2.468657,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,6
4975,7.1590805,6.6140547,3.6339197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2
27604,5.8045206,5.3044963,1.4502215,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
3019,4.588481,5.2557545,4.2692795,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6
56788,5.7664275,4.0644145,3.3626103,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
8984,6.6272354,5.2357693,2.7645583,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5
161354,4.398071,6.764232,3.001961,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7
26242,3.2317548,2.0156288,4.4946294,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4
66198,4.909221,2.95993,3.934816,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3
27627,4.8062134,3.178847,4.1449523,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3
58105,3.5195358,5.5489173,5.0101957,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,6
73344,5.7925625,6.766902,3.1566312,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
2952,3.5730882,4.5739045,1.7081931,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,6
113,8.036818,5.6175427,4.147358,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5
133879,3.9349794,4.6467805,4.1017838,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
5268,2.4479916,3.428765,4.0690737,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,6
3700,2.5032835,2.587728,3.8968694,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3
171751,5.7076993,3.0333426,2.9741163,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
6618,3.1155152,6.3763537,4.3245234,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
6873,6.089446,5.3742113,2.8828785,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
163527,3.4669464,7.046978,2.664137,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
93740,4.53729,4.9599953,3.8555775,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6
30793,4.652272,5.2052674,1.5961496,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6
139644,3.5119386,4.6587896,2.1422503,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,6
45503,5.6105337,5.190779,3.7496336,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1990,4.118301,4.835289,1.8952321,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6
7013,3.0184095,2.8564146,3.2460892,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,3
2969,6.7979803,4.1451683,4.826042,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5
2339,3.0809665,3.7022119,2.2685425,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6
25757,5.7713327,3.4487183,1.9532615,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,3
31123,5.760445,3.4553225,3.15446,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
4205,6.817587,3.3047037,3.7700965,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3
4032,3.6374013,5.3997216,3.8209898,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
25996,3.233417,5.3289385,1.7313404,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6
6911,3.4410832,5.9982605,1.903426,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7
139642,7.150564,6.4402504,4.1723866,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
45440,6.9776635,5.6530757,4.773933,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
160954,3.5089984,5.556142,4.706063,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6
8261,7.3755517,5.5644283,4.5876412,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
149350,4.2343183,5.1759396,4.310676,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6
2818,4.303894,3.1606836,4.4954963,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
4200,6.235384,6.238884,3.4672089,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
97860,4.429664,4.8488193,1.419902,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,6
193565,5.888245,4.692702,1.9942894,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
62299,3.4782608,3.2551806,4.227885,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6
5293,5.904598,5.188572,4.3878384,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
4034,6.0245686,5.6208563,3.293025,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2
8373,5.141916,4.4938774,2.7655528,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
76743,3.9485338,6.262526,4.672417,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1601,4.909613,4.854998,3.3133953,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,6
6557,2.9744377,7.387303,4.30074,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
129657,5.551798,6.2941766,4.0127025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2554,7.1605573,5.453867,4.704816,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,5
3535,7.891123,5.654672,3.01071,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,5
60074,3.1031597,4.796177,4.356771,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6
65685,5.032559,4.5161734,3.6294215,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
90719,4.9208045,4.6111364,3.4243062,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
72603,4.525003,5.6590886,2.1620576,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
3663,5.6375027,3.4166334,4.493747,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,3
79251,3.6412141,2.6044507,3.2030315,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3
4326,3.9377928,3.6934426,4.2736387,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,6
4426,3.5591705,6.343317,2.689505,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7
74727,4.1695356,4.1079707,4.8802385,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,6
4970,6.8839045,6.4365144,4.307625,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
3512,8.072708,5.6020045,4.0776153,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5
5704,4.810241,6.5472326,3.8947973,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6
62293,6.4900484,5.976308,3.9574995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
1054,5.0358434,3.3224726,2.5402536,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
6429,2.97837,4.878952,2.4535387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
38198,6.9587374,4.236303,2.5208611,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
8638,4.760758,2.9858654,3.9576678,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3
5416,7.2349086,4.798706,4.1879177,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5
45720,4.9757233,3.4088268,4.890488,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
1652,6.2320256,3.3232245,3.8779395,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
96471,6.716,5.6746345,4.0630603,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2
8778,2.777438,5.023575,4.3074956,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6
