movieId,UMAP1,UMAP2,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,cluster_gmm
619,17.863234,3.000773,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
33826,21.217722,2.4128785,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
1298,20.025936,4.065888,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3
140289,20.00509,3.3611221,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
3064,18.675707,3.3529654,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5
2868,19.703106,1.5534266,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7
27826,18.5458,2.3411107,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5
1950,21.711483,2.4072618,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3
27802,20.500702,2.7833114,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,3
7149,21.141577,3.4642417,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3
4334,21.171162,2.1322553,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
39234,20.560125,1.9829237,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
5562,21.949917,1.1415771,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4
6678,18.191835,2.5436258,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5
5313,20.751568,4.180979,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3
7205,22.494244,1.5830159,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
573,18.857264,1.798761,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
5849,20.24577,1.4711169,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
3075,22.084108,1.8222524,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4
5619,20.991438,2.0574605,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7
4133,20.545496,2.485083,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3
179,19.85717,1.7506365,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7
5364,20.89529,1.2618712,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,7
912,21.015917,3.8719294,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3
2333,19.098032,2.7865708,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
198,21.921745,4.003817,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,2
7010,18.052166,3.5836754,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6
6405,21.015354,2.0814843,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
3833,20.49906,1.6136107,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7
107141,21.407724,2.9040217,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
4610,19.481415,4.055281,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,6
3857,21.285475,3.636595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
26133,18.255306,0.6951585,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
161634,21.763044,3.9914432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
51086,21.690187,3.299224,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,3
4975,20.196217,2.7749403,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,3
27604,20.184046,2.9079795,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,3
3019,18.105232,2.28345,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5
56788,19.933432,2.8987432,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5
