movieId,UMAP1,UMAP2,UMAP3,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,cluster_gmm
619,22.78434,-0.29900536,-10.369154,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33826,24.203487,-1.5540733,-12.40972,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
1298,23.98294,0.28610793,-12.112692,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6
140289,23.915617,-0.47420514,-11.746732,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
3064,23.293003,-0.15601775,-10.912076,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
2868,23.328451,-1.7555269,-11.22115,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
27826,23.340048,-0.5002076,-10.5139675,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1950,22.703829,-1.246584,-13.081001,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3
27802,24.613867,-0.7050485,-11.858566,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2
7149,23.629698,-1.3945874,-12.938123,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3
4334,22.862453,-1.6155295,-12.093334,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
39234,24.529236,-1.4962386,-11.731095,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
5562,21.555437,-1.1560305,-12.319079,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5
6678,22.103401,-0.4182081,-11.357852,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5
5313,23.01639,-0.033344712,-12.686681,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
7205,21.888716,-1.5121909,-13.033485,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
573,23.673548,-1.5506201,-10.709743,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
5849,24.295996,-1.7362285,-11.480828,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3075,22.330242,-1.7564445,-12.966879,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4
5619,22.352535,-1.0868654,-11.996609,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
4133,24.27193,-1.1305792,-12.077405,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
179,23.93257,-1.4329497,-11.080635,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3
5364,23.736763,-2.1045744,-12.205428,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3
